"운영기관","권역명","국가명","도시명"
"OKTA","유럽","네덜란드","틸뷔르흐"
"OKTA","유럽","노르웨이","오슬로"
"OKTA","유럽","덴마크","코펜하겐"
"OKTA","유럽","독일","뒤셀도르프"
"OKTA","유럽","독일","뮌헨"
"OKTA","유럽","독일","바이아마레"
"OKTA","유럽","독일","베를린"
"OKTA","유럽","독일","보훔"
"OKTA","유럽","독일","예나"
"OKTA","유럽","독일","프랑크푸르트"
"OKTA","유럽","독일","함부르크"
"OKTA","유럽","루마니아","부쿠레슈티"
"OKTA","유럽","루마니아","오라데아"
"OKTA","유럽","루마니아","클루지나포카"
"OKTA","유럽","마케도니아","스코페"
"OKTA","유럽","벨기에","브뤼셀"
"OKTA","유럽","불가리아","소피아"
"OKTA","유럽","세르비아","베오그라드"
"OKTA","유럽","스웨덴","스톡홀름"
"OKTA","유럽","스위스","제네바"
"OKTA","유럽","스위스","취리히"
"OKTA","유럽","스페인","마드리드"
"OKTA","유럽","스페인","바르셀로나"
"OKTA","유럽","슬로바키아","브라티슬라바"
"OKTA","유럽","영국","글래스고"
"OKTA","유럽","영국","런던"
"OKTA","유럽","영국","셰필드"
"OKTA","유럽","오스트리아","빈"
"OKTA","유럽","이탈리아","밀라노"
"OKTA","유럽","체코","프라하"
"OKTA","유럽","크로아티아","자그레브"
"OKTA","유럽","포르투갈","리스본"
"OKTA","유럽","폴란드","글리비체"
"OKTA","유럽","폴란드","바르샤바"
"OKTA","유럽","프랑스","리옹"
"OKTA","유럽","프랑스","파리"
"OKTA","유럽","핀란드","헬싱키"
"OKTA","유럽","헝가리","부다페스트"
"OKTA","일본","일본","구마모토"
"OKTA","일본","일본","나고야"
"OKTA","일본","일본","도쿄"
"OKTA","일본","일본","사이타마"
"OKTA","일본","일본","센다이"
"OKTA","일본","일본","오사카"
"OKTA","일본","일본","요코하마"
"OKTA","일본","일본","지바"
"OKTA","일본","일본","후쿠오카"
"OKTA","일본","일본","히로시마"
"OKTA","중국지역","대만","타이베이"
"OKTA","중국지역","중국","광저우"
"OKTA","중국지역","중국","난징"
"OKTA","중국지역","중국","다롄"
"OKTA","중국지역","중국","단둥"
"OKTA","중국지역","중국","둥잉"
"OKTA","중국지역","중국","르자오"
"OKTA","중국지역","중국","베이징"
"OKTA","중국지역","중국","산허"
"OKTA","중국지역","중국","상하이"
"OKTA","중국지역","중국","샤먼"
"OKTA","중국지역","중국","선양"
"OKTA","중국지역","중국","선전"
"OKTA","중국지역","중국","소저우"
"OKTA","중국지역","중국","소저우"
"OKTA","중국지역","중국","스자좡"
"OKTA","중국지역","중국","시안"
"OKTA","중국지역","중국","옌지"
"OKTA","중국지역","중국","옌타이"
"OKTA","중국지역","중국","우한"
"OKTA","중국지역","중국","웨이팡"
"OKTA","중국지역","중국","웨이하이"
"OKTA","중국지역","중국","위해"
"OKTA","중국지역","중국","이우"
"OKTA","중국지역","중국","정저우"
"OKTA","중국지역","중국","지린"
"OKTA","중국지역","중국","창사"
"OKTA","중국지역","중국","창춘"
"OKTA","중국지역","중국","청두"
"OKTA","중국지역","중국","충칭"
"OKTA","중국지역","중국","칭다오"
"OKTA","중국지역","중국","톈진"
"OKTA","중국지역","중국","퉁화"
"OKTA","중국지역","중국","푸순"
"OKTA","중국지역","중국","하얼빈"
"OKTA","중국지역","중국","하이먼"
"OKTA","중국지역","중국","항저우"
"OKTA","중국지역","중국","홍콩"
"OKTA","중국지역","중국","후룬베이얼"
"OKTA","중남미","과테말라","과테말라"
"OKTA","중남미","도미니카공화국","산토도밍고"
"OKTA","중남미","멕시코","멕시코시티"
"OKTA","중남미","멕시코","몬테레이"
"OKTA","중남미","멕시코","티후아나"
"OKTA","중남미","베네수엘라","카라카스"
"OKTA","중남미","브라질","리우데자네이루"
"OKTA","중남미","브라질","상파울루"
"OKTA","중남미","브라질","포르탈레자"
"OKTA","중남미","아르헨티나","부에노스아이레스"
"OKTA","중남미","아르헨티나","살타"
"OKTA","중남미","아르헨티나","후후이"
"OKTA","중남미","에콰도르","키토"
"OKTA","중남미","우루과이","몬테비데오"
"OKTA","중남미","우루과이","우루과이 산호세"
"OKTA","중남미","칠레","산티아고"
"OKTA","중남미","칠레","산티아고"
"OKTA","중남미","콜롬비아","보고타"
"OKTA","중남미","쿠바","아바나"
"OKTA","중남미","파나마","파나마"
"OKTA","중남미","파라과이","시우다드델에스테"
"OKTA","중남미","파라과이","아순시온"
"OKTA","중남미","페루","리마"
"OKTA","중동","리비아","트리폴리"
"OKTA","중동","모로코","카사블랑카"
"OKTA","중동","사우디아라비아","리야드"
"OKTA","중동","사우디아라비아","제다"
"OKTA","중동","시리아","다마스커스"
"OKTA","중동","아랍에미리트","두바이"
"OKTA","중동","아랍에미리트","아부다비"
"OKTA","중동","알제리","알제"
"OKTA","중동","알제리","알제"
"OKTA","중동","오만","무스카트"
"OKTA","중동","요르단","암만"
"OKTA","중동","이라크","바그다드"
"OKTA","중동","이란","테헤란"
"OKTA","중동","이스라엘","나하리야"
"OKTA","중동","이스라엘","텔아비브"
"OKTA","중동","이집트","카이로"
"OKTA","중동","카타르","도하"
"OKTA","중동","쿠웨이트","쿠웨이트"
"OKTA","중동","튀르키예","이스탄불"
"중소벤처기업진흥공단","CIS지역","러시아연방","노보시비르스크"
"중소벤처기업진흥공단","CIS지역","러시아연방","니즈니 노브고로드"
"중소벤처기업진흥공단","CIS지역","러시아연방","모스크바"
"중소벤처기업진흥공단","CIS지역","러시아연방","모스크바"
"중소벤처기업진흥공단","CIS지역","러시아연방","모스크바"
"중소벤처기업진흥공단","CIS지역","러시아연방","모스크바"
"중소벤처기업진흥공단","CIS지역","러시아연방","모스크바"
"중소벤처기업진흥공단","CIS지역","러시아연방","블라디보스톡"
"중소벤처기업진흥공단","CIS지역","러시아연방","상트페테르부르크"
"중소벤처기업진흥공단","CIS지역","러시아연방","첼라빈스크"
"중소벤처기업진흥공단","CIS지역","러시아연방","카잔"
"중소벤처기업진흥공단","CIS지역","러시아연방","하바롭스크"
"중소벤처기업진흥공단","CIS지역","몽골","울란바토르"
"중소벤처기업진흥공단","CIS지역","몽골","울란바토르"
"중소벤처기업진흥공단","CIS지역","벨라루스","민스크"
"중소벤처기업진흥공단","CIS지역","아제르바이잔","바쿠"
"중소벤처기업진흥공단","CIS지역","우즈베키스탄","타슈켄트"
"중소벤처기업진흥공단","CIS지역","우즈베키스탄","타슈켄트"
"중소벤처기업진흥공단","CIS지역","우즈베키스탄","타슈켄트"
"중소벤처기업진흥공단","CIS지역","우크라이나","키이우"
"중소벤처기업진흥공단","CIS지역","우크라이나","키이우"
"중소벤처기업진흥공단","CIS지역","조지아","악토베"
"중소벤처기업진흥공단","CIS지역","조지아","트빌리시"
"중소벤처기업진흥공단","CIS지역","카자흐스탄","알마티"
"중소벤처기업진흥공단","CIS지역","카자흐스탄","알마티"
"중소벤처기업진흥공단","CIS지역","카자흐스탄","알마티"
"중소벤처기업진흥공단","CIS지역","카자흐스탄","알마티"
"중소벤처기업진흥공단","CIS지역","키르키즈스탄","비슈케크"
"중소벤처기업진흥공단","CIS지역","타지키스탄","두샨베"
"중소벤처기업진흥공단","CIS지역","투르크메니스탄","아슈가바트"
"중소벤처기업진흥공단","동남아대양주지역","네팔","카트만두"
"중소벤처기업진흥공단","동남아대양주지역","뉴질랜드","오클랜드"
"중소벤처기업진흥공단","동남아대양주지역","뉴질랜드","오클랜드"
"중소벤처기업진흥공단","동남아대양주지역","뉴질랜드","오클랜드"
"중소벤처기업진흥공단","동남아대양주지역","뉴질랜드","크라이스트처치"
"중소벤처기업진흥공단","동남아대양주지역","라오스","비엔티안"
"중소벤처기업진흥공단","동남아대양주지역","라오스","조지타운"
"중소벤처기업진흥공단","동남아대양주지역","라오스","조호바루"
"중소벤처기업진흥공단","동남아대양주지역","말레이시아","쿠알라룸푸르"
"중소벤처기업진흥공단","동남아대양주지역","말레이시아","쿠알라룸푸르"
"중소벤처기업진흥공단","동남아대양주지역","말레이시아","쿠알라룸푸르"
"중소벤처기업진흥공단","동남아대양주지역","말레이시아","쿠알라룸푸르"
"중소벤처기업진흥공단","동남아대양주지역","미얀마","양곤"
"중소벤처기업진흥공단","동남아대양주지역","베트남","다낭"
"중소벤처기업진흥공단","동남아대양주지역","베트남","달랏"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","하노이"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","베트남","호치민"
"중소벤처기업진흥공단","동남아대양주지역","싱가포르","싱가포르"
"중소벤처기업진흥공단","동남아대양주지역","싱가포르","싱가포르"
"중소벤처기업진흥공단","동남아대양주지역","싱가포르","싱가포르"
"중소벤처기업진흥공단","동남아대양주지역","싱가포르","싱가포르"
"중소벤처기업진흥공단","동남아대양주지역","싱가포르","싱가포르"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","수라바야"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","스마랑"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","인도네시아","자카르타"
"중소벤처기업진흥공단","동남아대양주지역","캄보디아","프놈펜"
"중소벤처기업진흥공단","동남아대양주지역","캄보디아","프놈펜"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","태국","방콕"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","마닐라"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","마닐라"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","마닐라"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","마닐라"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","마닐라"
"중소벤처기업진흥공단","동남아대양주지역","필리핀","세부"
"중소벤처기업진흥공단","동남아대양주지역","호주","멜버른"
"중소벤처기업진흥공단","동남아대양주지역","호주","멜버른"
"중소벤처기업진흥공단","동남아대양주지역","호주","브리즈번"
"중소벤처기업진흥공단","동남아대양주지역","호주","시드니"
"중소벤처기업진흥공단","동남아대양주지역","호주","시드니"
"중소벤처기업진흥공단","동남아대양주지역","호주","시드니"
"중소벤처기업진흥공단","동남아대양주지역","호주","시드니"
"중소벤처기업진흥공단","동남아대양주지역","호주","시드니"
"중소벤처기업진흥공단","동남아대양주지역","호주","애들레이드"
"중소벤처기업진흥공단","동남아대양주지역","호주","태즈메이니아"
"중소벤처기업진흥공단","동남아대양주지역","호주","퍼스"
"중소벤처기업진흥공단","북미","미국","내슈빌"
"중소벤처기업진흥공단","북미","미국","뉴욕"
"중소벤처기업진흥공단","북미","미국","뉴욕"
"중소벤처기업진흥공단","북미","미국","뉴욕"
"중소벤처기업진흥공단","북미","미국","뉴욕"
"중소벤처기업진흥공단","북미","미국","뉴욕"
"중소벤처기업진흥공단","북미","미국","뉴저지"
"중소벤처기업진흥공단","북미","미국","달라스"
"중소벤처기업진흥공단","북미","미국","덴버"
"중소벤처기업진흥공단","북미","미국","디트로이트"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","로스앤젤레스"
"중소벤처기업진흥공단","북미","미국","리치먼드"
"중소벤처기업진흥공단","북미","미국","마이애미"
"중소벤처기업진흥공단","북미","미국","버겐필드"
"중소벤처기업진흥공단","북미","미국","버지니아"
"중소벤처기업진흥공단","북미","미국","보스턴"
"중소벤처기업진흥공단","북미","미국","산호세"
"중소벤처기업진흥공단","북미","미국","샌디에고"
"중소벤처기업진흥공단","북미","미국","시애틀"
"중소벤처기업진흥공단","북미","미국","시카고"
"중소벤처기업진흥공단","북미","미국","시카고"
"중소벤처기업진흥공단","북미","미국","실리콘밸리"
"중소벤처기업진흥공단","북미","미국","아나폴리스"
"중소벤처기업진흥공단","북미","미국","애틀랜타"
"중소벤처기업진흥공단","북미","미국","워싱턴"
"중소벤처기업진흥공단","북미","미국","일리노이"
"중소벤처기업진흥공단","북미","미국","코스타메이사"
"중소벤처기업진흥공단","북미","미국","탬파"
"중소벤처기업진흥공단","북미","미국","하와이"
"중소벤처기업진흥공단","북미","미국","휴스턴"
"중소벤처기업진흥공단","북미","캐나다","몬트리올"
"중소벤처기업진흥공단","북미","캐나다","밴쿠버"
"중소벤처기업진흥공단","북미","캐나다","위니팩"
"중소벤처기업진흥공단","북미","캐나다","토론토"
"중소벤처기업진흥공단","북미","캐나다","토론토"
"중소벤처기업진흥공단","서남아","방글라데시","다카"
"중소벤처기업진흥공단","서남아","스리랑카","콜롬보"
"중소벤처기업진흥공단","서남아","인도","노이다"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
"중소벤처기업진흥공단","서남아","인도","뉴델리"
