개최예정연도,개최시작예정일자,개최종료예정일자,개최주기,해외전시회명,전시장명,개최국가명,개최도시명,산업분야수,산업분야,참가기업수,협약수행기관수,참가국가수,참가업체수,참관인수,개별참가업체수,담당무역관
2027,2027-11-01,2027-11-30,매년,2027 중국 홍콩 코스모프로프 아시아 미용 전시회 [Cosmoprof-Asia],홍콩전시컨벤션센터 HKCEC,홍콩,홍콩,1,뷰티&미용용품,0,0,0,0,0,0,홍콩무역관
2027,2027-11-01,2027-11-30,격년,2027 중국 주하이 항공 전시회 [AERO Asia],Zhuhai International Airshow Center,중국,주하이,1,항공&우주,0,0,0,0,0,0,광저우무역관
2027,2025-11,2025-11,매년,2027 베트남 호치민 의료기기 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,의료&제약,0,0,0,0,0,0,호치민무역관
2027,2025-11,2025-11,매년,2027 베트남 호치민 의료기기 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,기타,0,0,0,0,0,0,호치민무역관
2027,2025-11,2025-11,격년,"2027 캄보디아 프놈펜 식음료, 식품 기자재 전시회",Diamond Island Convention and Exhibition Center,캄보디아,프놈펜,1,식품&음료,0,0,0,0,0,0,프놈펜무역관
2027,2025-11,2025-11,매년,2027 베트남 호치민 의료기기 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,기타,0,0,0,0,0,0,호치민무역관
2027,2027-10-29,2027-10-30,연2회,독일 뮌헨 퍼포먼스데이즈,Messe Munich,독일,뮌헨,1,기타,0,0,0,0,0,0,뮌헨무역관
2027,2027-10-27,2027-10-30,매년,2027 홍콩 추계 글로벌 소시스 스포츠 앤 아웃도어 전시회,Asia World - Expo,홍콩,홍콩,1,기타,0,0,0,0,0,0,홍콩무역관
2027,2027-10-23,2027-10-27,,2027 중국 광저우 추계 수출입 상품 교역 전시회 (2기) [CANTONFAIR],China Import and Export Fair Complex(Canton Fair Complex),중국,광저우,4,"국가종합전시회, 건축&기자재, 생활용품&가구, 기타",0,0,0,0,0,0,광저우무역관
2027,2027-10-16,2027-10-19,매년,2027 미국 인디애나폴리스 전기공사 전시회,Indiana Convention Center,미국,인디애나폴리스,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-10-16,2027-10-18,연2회,중국 청두 미용전시회 [CCBE] ,청두세기성국제전람센터/成都世紀城國際展覽中心,중국,청두,1,기타,0,0,0,0,0,0,청두무역관
2027,2027-10-15,2027-10-19,,2027 중국 광저우 추계 수출입 상품 교역 전시회 (1기) [CANTONFAIR],China Import and Export Fair Complex(Canton Fair Complex),중국,광저우,4,"국가종합전시회, 정보통신기술(IT)&S/W, 전기전자&반도체, 기계&장비",0,0,0,0,0,0,광저우무역관
2027,2027-10-11,2027-10-14,매년,2027 중국 홍콩 소비재 전자 전시회 ,Asia World - Expo,중국,홍콩,1,기타,0,0,0,0,0,0,홍콩무역관
2027,2027-10-09,2027-10-13,매년,중국 상하이 추계 패션 전시회,Shanghai  New International Expo Center,중국,상하이,1,패션&섬유,0,0,0,0,0,0,상하이무역관
2027,2027-10-07,2027-10-10,매년,대만 (타이완) 타이베이 유아용품 전시회,Taipei World Trade Center Exhibition Hall,대만 (타이완),타이베이,1,기타,0,0,0,0,0,0,타이베이무역관
2027,2027-10-06,2027-10-08,연2회,일본 도쿄 패션월드 전시회,Tokyo Big Sight,일본,도쿄,1,패션&섬유,0,0,0,0,0,0,도쿄무역관
2027,2027-10-04,2027-10-08,격년,이탈리아 밀라노 공작기계 및 자동화기기 전시회,FIERA MILANO RHO,이탈리아,밀라노,1,기타,0,0,0,0,0,0,밀라노무역관
2027,2027-10-01,2027-10-31,매년,미국 샌프란시스코 스타트업 전시회,Moscone Convention Center,미국,샌프란시스코,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-10-01,2027-10-31,,미국 샌프란시스코 스타트업 전시회,Moscone Convention Center,미국,샌프란시스코,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-10-01,2027-10-31,매년,2027 일본 도쿄 추계 IT 전시회 [Japan IT Week Autumn],Tokyo Big Sight,일본,,1,정보통신기술(IT)&S/W,0,0,0,0,0,0,도쿄무역관
2027,2027-10-01,2027-10-31,격년,2027 프랑스 파리 자동차 부품 전시회,Paris expo Porte de Versailles,프랑스,파리,1,기타,0,0,0,0,0,0,파리무역관
2027,2027-10-01,2027-10-31,매년,미국 샌프란시스코 스타트업 전시회,Moscone Convention Center,미국,샌프란시스코,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-10-01,2027-10-31,매년,미국 샌프란시스코 스타트업 전시회,Moscone Convention Center,미국,샌프란시스코,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-10-01,2027-10-31,매년,미국 샌프란시스코 스타트업 전시회,Moscone Convention Center,미국,샌프란시스코,1,기타,0,0,0,0,0,0,실리콘밸리무역관
2027,2027-10-01,2027-10-31,매년,"2027 중국 마카오  프랜차이즈 본사 부스: F&amp;B, 창업 컨설팅 서비스 전시회 [MFE]",The Venetian Macao Convention and Exhibition Centre,홍콩,마카오,2,"뷰티&미용용품, 금융&비즈니스서비스",0,0,0,0,0,0,홍콩무역관
2027,2027-10-01,2027-10-31,,2027 홍콩 메가 전시회 파트 1,홍콩전시컨벤션센터 HKCEC,홍콩,홍콩,2,"생활용품&가구, 문구&선물",0,0,0,0,0,0,홍콩무역관
2027,2027-10-01,2027-10-31,매년,2027 싱가포르 AI 빅데이터 전시회,Singapore Marina Bay Sands,싱가포르,싱가포르,1,정보통신기술(IT)&S/W,0,0,0,0,0,0,싱가포르무역관
2027,2027-10-01,2027-10-31,격년,2027 이탈리아 바리 수자원 전시회 [ACCADUEO],Fiera del Levante,이탈리아,바리,2,"환경&폐기물, 기계&장비",0,0,0,0,0,0,밀라노무역관
2027,2027-10-01,2027-10-31,격년,2027 이탈리아 밀라노 관광산업 전시회 [HOST],FIERA MILANO RHO,이탈리아,밀라노,2,"식품&음료, 레저&관광",0,0,0,0,0,0,밀라노무역관
2027,2025-10,2025-10,매년,2027 아랍에미리트 두바이 수자원기술 및 환경기술 전시회,Dubai World Trade Centre,아랍에미리트,두바이,1,기타,0,0,0,0,0,0,두바이무역관
2027,2025-10,2025-10,매년,일본 도쿄 의료기기 설계 및 제조 전시회,Makuhari Messe(Nippon Convention Center),일본,도쿄,1,기타,0,0,0,0,0,0,도쿄무역관
2027,2025-10,2025-10,매년,이탈리아 밀라노  공작기계 전시회,"밀라노, Fiera Milano",이탈리아,밀라노,1,기타,0,0,0,0,0,0,밀라노무역관
2026,2025-10,2025-10,매년,2026 사우디아라비아 리야드 스포츠 전시회,Riyadh Front,사우디아라비아,리야드,1,기타,0,0,0,0,0,0,리야드무역관
2027,2025-10,2025-10,매년,2027 프랑스 리옹 국제 환경 전시회,Lyon Eurexpo,프랑스,리옹,1,기타,0,0,0,0,0,0,파리무역관
2027,2027-09-27,2027-09-29,격년,2027 미국 시카고 수질환경기술 전시회,McCormick Place,미국,시카고,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-09-18,2027-09-23,매년,2027 이탈리아 제노바 보트쇼 전시회 [SALONE NAUTICO],"제노바, Fiera di Genova",이탈리아,리미니,3,"건강&스포츠, 레저&관광, 기계&장비",0,0,0,0,0,0,밀라노무역관
2027,2027-09-15,2027-09-17,,2027 미국 뉴욕 추계 패션 코테리 전시회,Jacob K. Javits Convention Center,미국,뉴욕,1,패션&섬유,0,0,0,0,0,0,뉴욕무역관
2027,2027-09-13,2027-09-16,매년,2027  미국 시카고 금형 및 용접 전시회 ,McCormick Place,미국,시카고,1,기타,0,0,0,0,0,0,시카고무역관
2027,2027-09-01,2027-09-30,매년,러시아 모스크바 반려 동물 용품 전시회,Crocus Expo Exhibition Center,러시아,모스크바,1,기타,0,0,0,0,0,0,모스크바무역관
2027,2027-09-01,2027-09-30,매년,2027 중국 베이징 서비스 무역 전시회 [CIFTS],China National Convention Center,중국,베이징,7,"국가종합전시회, 문화콘텐츠&미디어, 금융&비즈니스서비스, 항공&우주, 정보통신기술(IT)&S/W, 전력&에너지, 바이오",0,0,0,0,0,0,베이징무역관
2027,2027-09-01,2027-09-30,3년,2027 일본 도쿄 유체동력 전시회 [IFPEX],Tokyo Big Sight,일본,도쿄,1,기계&장비,0,0,0,0,0,0,도쿄무역관
2027,2025-09,2025-09,격년,2027 독일 하노버 공작기계 전시회,Hannover Exhibition Ground,독일,하노버,1,기타,0,0,0,0,0,0,함부르크무역관
2027,2025-09,2025-09,매년,말레이시아 쿠알라룸푸르 할랄 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,식품&음료,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2025-09,2025-09,매년,2027 중국 상하이 치과장비 기자재 전시회,NECC Shanghai,중국,상하이,1,의료&제약,0,0,0,0,0,0,상하이무역관
2027,2025-09,2025-09,매년,일본 오사카 국제 화장품 전시회,INTEX OSAKA,일본,오사카,1,뷰티&미용용품,0,0,0,0,0,0,오사카무역관
2027,2025-09,2025-09,매년,2027  홍콩 주얼리&amp;젬월드 ,Hong Kong Convention &amp; Exhibition Centre,홍콩,홍콩,1,쥬얼리,0,0,0,0,0,0,홍콩무역관
2027,2025-09,2025-09,연2회,중국 광저우 동물용 의료기기 전시회,China Import and Export Fair Complex(Canton Fair Complex),중국,광저우,1,동물&애완용품,0,0,0,0,0,0,광저우무역관
2027,2025-09,2025-09,매년,독일 쾰른 유아 및 아동용품 전시회,Koeln Messe,독일,쾰른,1,기타,0,0,0,0,0,0,프랑크푸르트무역관
2027,2025-09,2025-09,연2회,프랑스 파리 춘계/추계 텍스월드 전시회,Paris Le Bourget,프랑스,파리,1,기타,0,0,0,0,0,0,파리무역관
2027,2027-08-18,2027-08-22,매년,2027 중국 상하이 반려동물용품 전시회,"Shanghai New International Expo Center , SNIEC (상하이 신국제엑스포센터)",중국,상하이,1,동물&애완용품,0,0,0,0,0,0,상하이무역관
2027,2027-08-01,2027-08-31,매년,"2027 중국 후허하오터 중국, 몽골 교역 전시회 [CME]",China National Convention Center,중국,후허하오터,7,"국가종합전시회, 패션&섬유, 뷰티&미용용품, 식품&음료, 농수산&임업, 생활용품&가구, 건강&스포츠",0,0,0,0,0,0,베이징무역관
2027,2027-08-01,2027-08-31,매년,2027 중국 베이징 로봇 전시회 [WRC],Etrong International Exhibition and Convention Center（Beijing),중국,베이징,3,"정보통신기술(IT)&S/W, 전기전자&반도체, 기계&장비",0,0,0,0,0,0,베이징무역관
2027,2025-08,2025-08,매년,2027 베트남 하노이 스마트 제조 및 로봇 전시회,I.C.E Hanoi - Hanoi International Center for Exhibition (Cultural Palace),베트남,하노이,1,기타,0,0,0,0,0,0,하노이무역관
2027,2025-08,2025-08,매년,베트남 하노이 치과의료기기 전시회,"National Convention Center(NCC), Me Tri, Tu Liem, Hanoi, Vietnam",베트남,하노이,1,기타,0,0,0,0,0,0,하노이무역관
2027,2025-08,2025-08,매년,2027 인도네시아 자카르타 수처리 전시회,Jakarta International Expo Kemayoran,인도네시아,자카르타,1,기타,0,0,0,0,0,0,자카르타무역관
2027,2027-07-13,2027-07-15,격년,2027 말레이시아 쿠알라룸푸르  의료기기 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2027-07-13,2027-07-15,격년,2027 말레이시아 쿠알라룸푸르  의료기기 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2027-07-13,2027-07-15,격년,2027 말레이시아 쿠알라룸푸르  의료기기 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2027-07-13,2027-07-15,격년,말레이시아 쿠알라룸푸르  의료기기 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2027-07-13,2027-07-15,매년,2027 남아공 케이프타운 의료기기 전시회 [WHX],Cape Town international convention centre,남아공,케이프타운,1,의료&제약,0,0,0,0,0,0,요하네스버그무역관
2027,2027-07-01,2027-07-31,매년,2027 중국 상하이 유아용품 전시회,NECC Shanghai,중국,상하이,1,기타,0,0,0,0,0,0,상하이무역관
2027,2027-07-01,2027-07-03,매년,일본 도쿄 제조 전시회,Tokyo Big Sight,일본,도쿄,1,기계&장비,0,0,0,0,0,0,도쿄무역관
2027,2025-07,2025-07,매년,일본 도쿄 기계 요소 기술 전시회,Tokyo Big Sight,일본,도쿄,1,기타,0,0,0,0,0,0,도쿄무역관
2027,2025-07,2025-07,격년,2027 말레이시아 쿠알라룸푸르  의료기기 전시회,Kuala Lumpur Convention Centre (KLCC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2025-07,2025-07,매년,2027 말레이시아 쿠알라룸푸르 의료기기 전시회,Kuala Lumpur Convention Centre (KLCC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2025-07,2025-07,매년,2027 베트남 호치민 국제기계 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,기타,0,0,0,0,0,0,호치민무역관
2027,2025-07,2025-07,격년,말레이시아 쿠알라룸푸르  의료기기 전시회,Malaysia International Trade and Exhibition Centre(MITEC),말레이시아,쿠알라룸푸르,1,기타,0,0,0,0,0,0,쿠알라룸푸르무역관
2027,2025-07,2025-07,매년,2027 타이 방콕 수자원 전시회,Queen Sirikit National Convention Center,태국,방콕,1,기타,0,0,0,0,0,0,방콕무역관
2027,2027-06-23,2027-06-25,연2회,미국 솔트레이크 하계 섬유패션 아웃도어용품 전시회,Salt Palace Convention Center,미국,솔트래크,1,기타,0,0,0,0,0,0,로스앤젤레스무역관
2027,2027-06-23,2027-06-25,매년,2027 미국 솔트레이크시티 하계 아웃도어용품 전시회,Salt Palace Convention Center,미국,솔트래크,1,패션&섬유,0,0,0,0,0,0,로스앤젤레스무역관
2027,2027-06-23,2027-06-25,매년,2027 미국 솔트레이크시티 하계 아웃도어용품 전시회,Salt Palace Convention Center,미국,솔트래크,1,패션&섬유,0,0,0,0,0,0,로스앤젤레스무역관
2027,2027-06-23,2027-06-25,매년,2027 미국 솔트레이크시티 하계 아웃도어용품 전시회,Salt Palace Convention Center,미국,솔트래크,1,패션&섬유,0,0,0,0,0,0,로스앤젤레스무역관
2027,2027-06-23,2027-06-25,매년,2027 미국 솔트레이크시티 하계 아웃도어용품 전시회,Salt Palace Convention Center,미국,솔트래크,1,패션&섬유,0,0,0,0,0,0,로스앤젤레스무역관
2027,2027-06-22,2027-06-25,격년,"2027 독일 뮌헨 생산공학, 자동화 전시회",Messe M&amp;uuml;nchen,독일,뮌헨,1,전기전자&반도체,0,0,0,0,0,0,뮌헨무역관
2027,2027-06-09,2027-06-12,매년,"중국 베이징 치과기자재 및 기계류, 관련 소모품 및 기구, 약품 등 전시회",China National Convention Center,중국,베이징,1,기타,0,0,0,0,0,0,베이징무역관
2027,2027-06-09,2027-06-11,매년,2027 중국 선전 인터텍스타일 국제 섬유 전시회,Shenzhen Convention &amp; Exhibition Center,중국,선전,1,패션&섬유,0,0,0,0,0,0,선전무역관
2027,2027-06-08,2027-06-10,매년,2027 중국 상하이 국제 석유화공 기술 및 설비 전시회,"Shanghai New International Expo Center , SNIEC (상하이 신국제엑스포센터)",중국,상하이,1,기타,0,0,0,0,0,0,상하이무역관
2027,2027-06-07,2027-06-11,,노르웨이 오슬로 선박 전시회,Nova Spektrum,노르웨이,오슬로,1,기타,0,0,0,0,0,0,스톡홀름무역관
2027,2027-06-01,2027-06-30,매년,2027 홍콩 프리미엄 반려동물용품 전시회,홍콩전시컨벤션센터 HKCEC,홍콩,홍콩,1,동물&애완용품,0,0,0,0,0,0,홍콩무역관
2027,2027-06-01,2027-06-30,매년,2027 중국 상하이 미용 화장품 전시회,National Exhibition and Convention Center (Shanghai),중국,상하이,1,뷰티&미용용품,0,0,0,0,0,0,상하이무역관
2027,2027-06-01,2027-06-30,매년,2027 중국 우루무치 유라시아 전시회 [CAE],Xinjiang International Exhibition Center,중국,베이징,6,"국가종합전시회, 패션&섬유, 뷰티&미용용품, 식품&음료, 의료&제약, 바이오",0,0,0,0,0,0,베이징무역관
2027,2027-06-01,2027-06-30,매년,2027 중국 상하이 의약품 전시회 (CPHI),"Shanghai New International Expo Center , SNIEC (상하이 신국제엑스포센터)",중국,상하이,1,의료&제약,0,0,0,0,0,0,상하이무역관
2027,2027-06-01,2027-06-30,매년,2027 멕시코 멕시코시티 보안 전시회 [Expo Seguridad],Centro Citibanamex,멕시코,멕시코시티,2,"방위산업, 기타",0,0,0,0,0,0,멕시코시티무역관
2027,2027-06-01,2027-06-03,매년,2027 프랑스 파리 메이크업 전시회,Paris Expo Carrousel du Louvre,프랑스,파리,1,기타,0,0,0,0,0,0,파리무역관
2027,2025-06,2025-06,매년,태국 방콕 전자 전시회,Bangkok International Trade &amp; Exhibition Center (BITEC),태국,방콕,1,기타,0,0,0,0,0,0,방콕무역관
2027,2025-06,2025-06,매년,2027 베트남 호치민 국제 베이비&amp;키즈 전시회,SECC (Saigon Exhibition and Convention Center),베트남,호치민,1,기타,0,0,0,0,0,0,호치민무역관
2027,2025-06,2025-06,매년,2027 미국 라스베가스 미용 화장 스파 전시회,Las Vegas Convention Center,미국,라스베가스,1,뷰티&미용용품,0,0,0,0,0,0,로스앤젤레스무역관
2027,2025-06,2025-06,매년,일본 도쿄 베이비 &amp; 키즈 엑스포,Tokyo Big Sight,일본,도쿄,1,기타,0,0,0,0,0,0,도쿄무역관
2027,2025-06,2025-06,매년,2027 일본 오사카 의료기기 전시회,INTEX OSAKA,일본,오사카,1,기타,0,0,0,0,0,0,오사카무역관
2027,2025-06,2025-06,매년,2027 태국 방콕 코스모프로프 전시회,Queen Sirikit National Convention Center,태국,방콕,1,기타,0,0,0,0,0,0,방콕무역관
2027,2025-06,2025-06,매년,2027 일본 치바 건설기계 및 건설기술 전시회,Makuhari Messe(Nippon Convention Center),일본,치바,1,기타,0,0,0,0,0,0,도쿄무역관
2027,2025-06,2025-06,매년,베트남 하노이 전기.전자 제품 박람회,I.C.E Hanoi - Hanoi International Center for Exhibition (Cultural Palace),베트남,하노이,1,기타,0,0,0,0,0,0,하노이무역관
2027,2027-05-28,2027-05-31,매년,독일 뮌헨 섬유패션 국제스포츠용품 전시회,Messe Munich,독일,뮌헨,1,기타,0,0,0,0,0,0,뮌헨무역관
2027,2027-05-26,2027-05-29,격년,2027 이탈리아 볼로냐 자동차 서비스 장비 및 제품 전시회 [Autopromotec],"볼로냐, Fiera di Bologna",이탈리아,볼로냐,2,"자동차, 기계&장비",0,0,0,0,0,0,밀라노무역관
2027,2027-05-25,2027-05-28,3년,2027 이탈리아 밀라노 디지털 인쇄 및 그래픽 산업 전시회 [Print4All],FIERA MILANO RHO,이탈리아,밀라노,1,기계&장비,0,0,0,0,0,0,밀라노무역관
2027,2027-05-12,2027-05-14,매년,2027 중국 상하이 미용 전시회,"Shanghai New International Expo Centre (SNIEC),",중국,상하이,1,뷰티&미용용품,0,0,0,0,0,0,상하이무역관
2027,2027-05-11,2027-05-14,격년,2027 이탈리아 밀라노 식품 전시회 [TUTTOFOOD],MILANO RHO FIERA,이탈리아,밀라노,1,식품&음료,0,0,0,0,0,0,밀라노무역관
2027,2027-05-11,2027-05-14,격년,2027 밀라노 금속가공 기계 전시회 [LAMIERA],FIERA MILANO RHO,이탈리아,밀라노,1,금속&광물,0,0,0,0,0,0,밀라노무역관
2027,2027-05-10,2027-05-12,격년,2027 이탈리아 볼로냐 애완용품 전시회 [ZOOMARK],"볼로냐, Fiera di Bologna",이탈리아,볼로냐,1,동물&애완용품,0,0,0,0,0,0,밀라노무역관
2027,2027-05-05,2027-05-07,격년,2027 싱가포르 해상 방위 전시회 [IMDEX Asia],Changi Exhibition Centre,싱가포르,싱가포르,2,"조선&플랜트, 방위산업",0,0,0,0,0,0,싱가포르무역관
2027,2027-05-05,2027-05-06,매년,2027 이탈리아 베르가모 하드웨어 전시회 [IHFI],FIERA MILANO RHO,이탈리아,밀라노,2,"건축&기자재, 생활용품&가구",0,0,0,0,0,0,밀라노무역관
2027,2027-05-04,2027-05-06,격년,2027 이탈리아 파르마 식품 및 음료 전시회 [CIBUS],"파르마, fiera di Parma",이탈리아,파르마,1,식품&음료,0,0,0,0,0,0,밀라노무역관
2027,2027-05-01,2027-05-31,매년,"2027 카자흐스탄 알마티 화장품, 뷰티 산업 관련 전시회",Atakent International Exhibition Centre,카자흐스탄,알마티,1,뷰티&미용용품,0,0,0,0,0,0,알마티무역관
2027,2027-05-01,2027-05-31,격년,2027 이탈리아 밀라노 청소 전시회 [ISSA PULIRE],"밀라노, Fiera Milano",이탈리아,밀라노,2,"기계&장비, 기타",0,0,0,0,0,0,밀라노무역관
2027,2027-05-01,2027-05-31,격년,2027 이탈리아 밀라노 철강산업 전시회 [MADEINSTEEL],FIERA MILANO RHO,이탈리아,밀라노,1,금속&광물,0,0,0,0,0,0,밀라노무역관
2027,2027-05-01,2027-05-31,매년,2027 싱가포르 정보통신 전시회 [CMMA],Singapore Expo,싱가포르,싱가포르,1,정보통신기술(IT)&S/W,0,0,0,0,0,0,싱가포르무역관
2027,2027-05-01,2027-05-31,매년,2027 독일 베를린 정보통신 전시회,Messe Berlin,독일,베를린,1,정보통신기술(IT)&S/W,0,0,0,0,0,0,함부르크무역관
2027,2027-05-01,2027-05-31,매년,2027 중국 베이징 과학기술산업 전시회 [CHITEX],China National Convention Center,중국,베이징,4,"정보통신기술(IT)&S/W, 환경&폐기물, 기계&장비, 바이오",0,0,0,0,0,0,베이징무역관
2027,2027-05-01,2027-05-31,격년,2027 이탈리아 볼로냐 애완용품 전시회,Bologna Fiera,이탈리아,볼로냐,1,동물&애완용품,0,0,0,0,0,0,밀라노무역관
2027,2027-05-01,2027-05-31,매년,2027 튀르키예 이스탄불 자동차 부품 전시회,TUYAP Fair Convention and Congress Center,튀르키예,이스탄불,1,기타,0,0,0,0,0,0,이스탄불무역관
2027,2027-05-01,2027-05-31,매년,2027 중국 마카오 게임 전시회 [G2E Asia ],The Venetian Macao Convention and Exhibition Centre,홍콩,마카오,2,"문화콘텐츠&미디어, 기계&장비",0,0,0,0,0,0,홍콩무역관
2027,2027-05-01,2027-05-31,매년,2027 중국 상하이  국제식품 음료 전시회,Shanghai  New International Expo Center,중국,상하이,1,식품&음료,0,0,0,0,0,0,상하이무역관
2027,2027-05-01,2027-05-31,매년,2027 일본 도쿄 교육 종합 전시회 [EDIX],Tokyo Big Sight,일본,도쿄,2,"정보통신기술(IT)&S/W, 유아·아동&교육&임산부",0,0,0,0,0,0,도쿄무역관
2027,2027-05-01,2027-05-31,매년,2027 일본 도쿄 뷰티월드 전시회 [Beauty World],Tokyo Big Sight,일본,도쿄,1,뷰티&미용용품,0,0,0,0,0,0,도쿄무역관
2027,2025-05,2025-05,매년,2027 스페인 바르셀로나 비타푸드 전시회,Fira de Bacelona (Gran Via),스페인,바르셀로나,2,"식품&음료, 건강&스포츠",0,0,0,0,0,0,마드리드무역관
2027,2025-05,2025-05,매년,태국 방콕 기계산업 전시회,Bangkok International Trade &amp; Exhibition Center (BITEC),태국,방콕,1,기타,0,0,0,0,0,0,방콕무역관
2027,2025-05,2025-05,매년,2027 중국 천진 병원건설 전시회,국가회전중심(NCEC),중국,천진,1,건축&기자재,0,0,0,0,0,0,톈진무역관
